,Unnamed: 0,galex_objid,sdss_objid,u,g,r,i,z,nuv_mag,eu,eg,er,ei,ez,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,c,rs,pred
525,757,3.8023070596234e+18,1.23766743009677e+18,22.7184886932,22.099773406999997,21.8991184235,22.144258499099998,21.805543899499998,0.1204954237,0.0938892141,0.06495212759999999,0.048266388499999986,0.0359013267,24.0451087952,1.326620102,1.9453353882,2.1459903717,1.9008502961,2.2395648957,0.6187152861999999,0.8193702697,0.5742301941,0.9129447937,0.2006549835,-0.0444850921,0.2942295075,-0.2451400756,0.093574524,0.3387145996,0,2.0022313595,0
741,1059,6.37872668716565e+18,1.23766744780282e+18,22.4174747467,21.8695602417,21.996786117600003,22.0984382629,21.654739379899997,0.0923214853,0.0719362795,0.0497651845,0.0369808674,0.0275069699,21.6214733124,-0.7960014343,-0.2480869293,-0.3753128052,-0.4769649505,-0.0332660675,0.547914505,0.4206886291,0.3190364838,0.7627353668000001,-0.1272258759,-0.2288780212,0.2148208618,-0.1016521453,0.34204673770000005,0.443698883,0,0.6194304824,1
783,1123,3.85121333682687e+18,1.23766753693401e+18,22.147607803299998,21.2518520355,21.1557178497,21.118227005,20.8727092743,0.1160582006,0.0904317647,0.0625602752,0.0464889891,0.0345792659,23.8117351532,1.6641273499,2.5598831177,2.6560173035,2.6935081482,2.9390258789,0.8957557678,0.9918899536,1.0293807983,1.274898529,0.0961341858,0.13362503050000002,0.3791427612,0.037490844700000005,0.2830085754,0.2455177307,0,2.287769556,0
826,1192,3.84815229645515e+18,1.2376675385401e+18,21.2685413361,20.6596031189,20.4848175049,20.5001239777,20.401416778599998,0.0992442444,0.0773304477,0.0534968451,0.0397538878,0.0295695905,23.516799926799997,2.2482585907,2.8571968079000003,3.0319824219,3.0166759491,3.1153831482,0.6089382172,0.7837238312,0.7684173584,0.8671245575,0.17478561399999998,0.15947914119999998,0.25818634030000004,-0.0153064728,0.0834007263,0.0987071991,0,1.1814427376,0
896,1291,3.0810978003452e+18,1.23766773450277e+18,25.2499351501,21.8291435242,20.2605762482,20.0143070221,19.8848228455,0.0905001983,0.0705171451,0.0487834327,0.0362513177,0.0269643217,24.0263500214,-1.2235851287,2.1972064972,3.7657737732,4.0120429993,4.1415271758999985,3.4207916259,4.9893589019,5.235628128,5.3651123046,1.568567276,1.8148365021,1.9443206787,0.2462692261,0.3757534027,0.1294841766,0,0.4217807949,1
989,1414,6.37767121935375e+18,1.23766773556714e+18,21.9501266479,21.505783081100002,21.3184394836,21.3115272522,21.420545578,0.1104608923,0.0860703811,0.0595430881,0.0442468971,0.032911561400000004,22.4008369446,0.4507102967,0.8950538634999999,1.082397461,1.0893096924,0.9802913666,0.4443435668,0.6316871643,0.6385993957,0.5295810699,0.1873435975,0.1942558289,0.0852375031,0.0069122314,-0.1021060944,-0.1090183258,0,1.0548853874,1
990,1415,6.37767121935375e+18,1.23766773556714e+18,21.9501266479,21.505783081100002,21.3184394836,21.3115272522,21.420545578,0.1104608923,0.0860703811,0.0595430881,0.0442468971,0.032911561400000004,22.4008369446,0.4507102967,0.8950538634999999,1.082397461,1.0893096924,0.9802913666,0.4443435668,0.6316871643,0.6385993957,0.5295810699,0.1873435975,0.1942558289,0.0852375031,0.0069122314,-0.1021060944,-0.1090183258,0,0.0041532526,1
997,1427,6.38263218360602e+18,1.23766773557022e+18,22.7052936554,21.4854946136,21.4323368073,21.2751922607,21.4325180054,0.1103969887,0.0860205889,0.05950864400000001,0.0442213006,0.0328925215,22.3920688629,-0.3132247925,0.9065742493,0.9597320556,1.1168766022,0.9595508575,1.2197990418,1.2729568481,1.4301013947,1.27277565,0.0531578063,0.2103023529,0.0529766082,0.1571445466,-0.0001811981,-0.15732574470000002,0,5.921512126900001,0
1710,2453,3.85536509273336e+18,1.23766791433939e+18,22.5840568542,21.241386413599997,20.953525543199998,20.7808685303,20.4069480896,0.0956783071,0.07455188780000001,0.0515746512,0.0383254923,0.0285071246,24.597578048699997,2.0135211945,3.3561916351,3.6440525055,3.8167095184,4.190629959100002,1.3426704406,1.630531311,1.8031883239,2.1771087646,0.2878608704,0.4605178833,0.8344383240000001,0.1726570129,0.5465774536,0.3739204407,0,1.0599038601000002,0
1712,2455,6.37904341308644e+18,1.23766791433991e+18,21.478820800799998,20.3789348602,20.495382309,20.519735336300002,20.6409683228,0.0893663093,0.069633618,0.0481722169,0.035797119100000004,0.0266264807,21.9112586975,0.4324378967,1.5323238373,1.4158763885,1.3915233612,1.2702903747,1.0998859406,0.9834384918,0.9590854645,0.837852478,-0.1164474488,-0.1408004761,-0.2620334626,-0.0243530273,-0.1455860138,-0.1212329865,0,0.13169957699999998,0
1713,2458,3.12472642173535e+18,1.23766791433998e+18,21.5121898651,20.210258483900002,19.647443771400003,19.4067115784,19.2716007233,0.0878930017,0.0684856325,0.0473780409,0.0352069624,0.026187511200000003,23.3120975494,1.7999076843,3.1018390655,3.664653778,3.905385971,4.0404968261,1.3019313812,1.8647460937,2.1054782867,2.2405891418,0.5628147125,0.8035469055,0.9386577606,0.240732193,0.3758430481,0.1351108551,0,0.6979357004000001,0
1714,2461,3.22837958211037e+18,1.2376679143405e+18,20.913940429700002,20.367099762,20.3337745667,20.3955993652,20.6027793884,0.0852903575,0.0664576739,0.0459751077,0.0341644324,0.0254120622,21.879175186199998,0.9652347565,1.5120754242,1.5454006195,1.483575821,1.2763957978,0.5468406677000001,0.580165863,0.5183410645000001,0.3111610413,0.0333251953,-0.0284996032,-0.2356796264,-0.061824798499999986,-0.2690048217,-0.2071800232,0,0.7344586849,0
1765,2569,6.3787267193779e+18,1.23766791595727e+18,21.170797348,20.5418567657,20.5672340393,20.5569248199,20.3851013184,0.1141242459,0.0889248401,0.06151779,0.0457143113,0.0340030491,22.142305374099998,0.9715080261,1.6004486084,1.5750713347999998,1.5853805542,1.7572040557,0.6289405822999999,0.6035633087,0.6138725281,0.7856960296,-0.0253772736,-0.0150680542,0.15675544730000002,0.0103092194,0.1821327209,0.17182350149999998,0,0.4940449297,1
1790,2617,3.06150010509172e+18,1.23766791703016e+18,22.3673286438,21.643493652300002,21.4880237579,21.5482559204,21.4916629791,0.1141375899,0.08893523369999999,0.0615249835,0.0457196571,0.034007024,24.459793090799998,2.092464447,2.8162994385,2.9717693329,2.9115371704000004,2.9681301117000003,0.7238349915000001,0.8793048859,0.8190727234,0.8756656647,0.1554698944,0.0952377319,0.15183067320000002,-0.0602321625,-0.0036392212,0.0565929413,0,5.7100234032,0
1852,2712,6.37855081791855e+18,1.23766827243681e+18,21.832548141500002,20.4843883514,20.326980590799998,20.209405899,20.1493167877,0.0976482928,0.0760868937,0.0526365601,0.0391146056,0.0290940795,23.2578201294,1.4252719879,2.773431778,2.9308395386000003,3.0484142304,3.1085033417,1.3481597901,1.5055675507,1.6231422425,1.6832313538,0.1574077606,0.2749824524,0.3350715637,0.1175746918,0.1776638031,0.0600891113,0,0.7042507529,0
1944,2854,3.12472642173535e+18,1.23766829229919e+18,21.3495426178,20.4240131378,20.231313705399998,20.1999053955,20.047876358,0.08781329539999999,0.0684235245,0.0473350808,0.0351750366,0.0261637662,22.968042373699998,1.6184997559,2.5440292359,2.7367286683,2.7681369782,2.9201660157,0.92552948,1.1182289124,1.1496372223,1.3016662598,0.1926994324,0.2241077423,0.3761367798,0.0314083099,0.1834373474,0.1520290375,0,0.3641141653,0
1946,2857,3.22837958211037e+18,1.23766829229952e+18,20.8536128998,20.0343780518,19.796628952,19.7149181366,19.761713028,0.0790344551,0.0615831092,0.0426029116,0.0316585302,0.023548129900000003,23.2332954407,2.3796825409,3.1989173889,3.4366664887,3.5183773041000004,3.4715824127,0.819234848,1.0569839478,1.1386947632,1.0918998718,0.2377490998,0.3194599152,0.2726650238,0.0817108154,0.034915924,-0.0467948914,0,0.3678865731,0
1947,2858,3.22837958211037e+18,1.23766829229965e+18,21.3985366821,20.484085083,20.2604427338,20.0983047485,20.1123085022,0.0809243247,0.0630556867,0.0436216332,0.0324155465,0.0241112113,22.9523410797,1.5538043976,2.4682559967,2.6918983459,2.8540363312,2.8400325775,0.9144515991,1.1380939483,1.3002319336,1.2862281799,0.2236423492,0.3857803345,0.3717765808,0.16213798529999998,0.1481342316,-0.0140037537,0,0.2965330482,0
1955,2870,6.37904340235112e+18,1.23766829283561e+18,20.4721775055,20.2806110382,20.2847728729,20.3758354187,20.4954891205,0.0821415931,0.0640041679,0.0442777872,0.0329031423,0.0244738925,21.0328960419,0.5607185364,0.7522850037000001,0.7481231690000001,0.6570606232,0.5374069214,0.1915664673,0.1874046326,0.0963420868,-0.023311615,-0.0041618347,-0.0952243805,-0.2148780823,-0.0910625458,-0.2107162476,-0.1196537018,0,0.6701145768,1
1956,2878,3.12472642173535e+18,1.23766829283613e+18,21.386894226099997,20.3163394928,19.9222698212,19.8038730621,19.6482849121,0.0865150467,0.0674119368,0.0466352664,0.034655001,0.0257769544,23.488834381100002,2.101940155,3.1724948883,3.5665645599,3.684961319,3.840549469,1.0705547333,1.4646244049,1.583021164,1.738609314,0.3940696716,0.5124664307,0.6680545807,0.1183967591,0.2739849091,0.15558815,0,0.015052449,0
1957,2880,3.22837958211037e+18,1.23766829283639e+18,21.039270401,20.1876907349,19.889709472699998,19.7733345032,19.7554969788,0.08708799630000001,0.06785837559999999,0.046944111600000005,0.034884505,0.0259476621,22.2999382019,1.2606678009,2.112247467,2.4102287292,2.5266036987,2.5444412231,0.8515796661,1.1495609283,1.2659358978,1.2837734222,0.2979812622,0.4143562317,0.4321937561,0.1163749695,0.1342124939,0.0178375244,0,0.0927600339,0
1958,2881,3.22837958211037e+18,1.23766829283646e+18,20.7091236115,20.2061824799,20.1275997162,20.1791820526,20.1034240723,0.08935823289999999,0.0696273297,0.0481678657,0.0357938856,0.0266240761,21.9486465454,1.2395229339,1.7424640655,1.8210468292,1.7694644928,1.8452224731,0.5029411316,0.5815238953,0.5299415589,0.6056995392,0.0785827637,0.0270004273,0.1027584076,-0.0515823364,0.0241756439,0.0757579803,0,0.2283113003,0
1962,2893,3.22837958211038e+18,1.23766829337333e+18,21.2796649933,20.2994441986,19.999736785899998,19.9217147827,19.8703422546,0.0953501761,0.0742962062,0.051397774400000006,0.0381940529,0.02840936,23.4331455231,2.1534805298,3.1337013245,3.4334087372,3.5114307404,3.5628032685,0.9802207947,1.2799282074,1.3579502106,1.4093227387,0.2997074127,0.3777294159,0.429101944,0.07802200320000001,0.1293945313,0.0513725281,0,0.1517188847,0
1964,2896,6.37904343026631e+18,1.23766829337392e+18,21.9926338196,21.4057865143,21.3605060577,21.4334754944,22.034763336199997,0.0858230591,0.0668727458,0.0462622531,0.034377813300000004,0.0255707763,22.7994670868,0.8068332672,1.3936805725,1.4389610291,1.3659915924,0.7647037506000001,0.5868473053000001,0.6321277619,0.5591583252000001,-0.0421295166,0.045280456600000005,-0.0276889801,-0.6289768218999999,-0.0729694367,-0.6742572785,-0.6012878418,0,2.2274050713,1
1970,2909,6.3790434120127e+18,1.23766829390987e+18,21.5832328796,20.4936828613,20.4603328705,20.591474533099998,20.646595001199998,0.0837058574,0.0652230382,0.0451209955,0.0335297361,0.0249399636,22.0497970581,0.4665641785,1.5561141968,1.5894641876,1.458322525,1.4032020569,1.0895500183,1.1229000091,0.9917583465,0.9366378784,0.0333499908,-0.0977916718,-0.1529121399,-0.1311416626,-0.1862621307,-0.055120468099999986,0,0.194632709,0
