,galex_objid,sdss_objid,u,g,r,i,z,nuv_mag,eu,eg,er,ei,ez,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,c,rs,pred
4,6.37482126696304e+18,1.23766725347377e+18,20.0247554779,20.000087738,20.1712589264,20.368888855,20.4720172882,0.0837407932,0.0652502626,0.0451398268,0.033543732,0.0249503721,20.8355522156,0.8107967376999999,0.8354644776000001,0.6642932892,0.4666633606,0.36353492740000004,0.024667739900000003,-0.1465034485,-0.3441333771,-0.4472618103,-0.1711711884,-0.368801117,-0.47192955020000005,-0.1976299286,-0.3007583618,-0.10312843320000001,0,-0.000797145,0
5,6.37482126696095e+18,1.23766725347377e+18,21.0076007843,20.3342037201,20.1748428345,20.1884212494,20.3381290436,0.0848040283,0.0660787225,0.045712955300000004,0.0339696258,0.0252671614,22.333087921100002,1.3254871368,1.9988842009999999,2.1582450866,2.1446666717,1.9949588775,0.6733970642,0.8327579498000001,0.8191795349,0.6694717407,0.1593608856,0.1457824707,-0.003925323499999999,-0.0135784149,-0.1632862091,-0.1497077942,0,0.0002576496,0
6,6.37482126696095e+18,1.23766725347377e+18,21.9896774292,20.4232635498,20.2544784546,20.2094688416,20.240818023699997,0.0838626772,0.0653452277,0.045205526100000004,0.033592551899999996,0.0249866862,22.4147586823,0.4250812531,1.9914951325,2.1602802277,2.2052898407,2.1739406586000003,1.5664138794,1.7351989746,1.7802085876,1.7488594055000002,0.16878509519999998,0.21379470820000002,0.1824455261,0.045009613,0.013660430900000001,-0.0313491821,0,-3.51238741131965e-05,0
7,6.37482126696095e+18,1.23766725347377e+18,21.9896774292,20.4232635498,20.2544784546,20.2094688416,20.240818023699997,0.0838626772,0.0653452277,0.045205526100000004,0.033592551899999996,0.0249866862,22.4147586823,0.4250812531,1.9914951325,2.1602802277,2.2052898407,2.1739406586000003,1.5664138794,1.7351989746,1.7802085876,1.7488594055000002,0.16878509519999998,0.21379470820000002,0.1824455261,0.045009613,0.013660430900000001,-0.0313491821,0,0.0001603406,0
8,6.37482126696095e+18,1.23766725347377e+18,21.9896774292,20.4232635498,20.2544784546,20.2094688416,20.240818023699997,0.0838626772,0.0653452277,0.045205526100000004,0.033592551899999996,0.0249866862,22.4147586823,0.4250812531,1.9914951325,2.1602802277,2.2052898407,2.1739406586000003,1.5664138794,1.7351989746,1.7802085876,1.7488594055000002,0.16878509519999998,0.21379470820000002,0.1824455261,0.045009613,0.013660430900000001,-0.0313491821,0,-3.51238741131965e-05,0
9,6.37482126696095e+18,1.23766725347377e+18,21.9896774292,20.4232635498,20.2544784546,20.2094688416,20.240818023699997,0.0838626772,0.0653452277,0.045205526100000004,0.033592551899999996,0.0249866862,22.4147586823,0.4250812531,1.9914951325,2.1602802277,2.2052898407,2.1739406586000003,1.5664138794,1.7351989746,1.7802085876,1.7488594055000002,0.16878509519999998,0.21379470820000002,0.1824455261,0.045009613,0.013660430900000001,-0.0313491821,0,0.0001603406,0
16,6.37482128199333e+18,1.23766725347475e+18,20.5283126831,19.4820594788,19.2421798706,19.1669883728,19.0566864014,0.1011028066,0.0787786245,0.0544986837,0.040498364700000004,0.0301233418,21.790845871,1.2625331879000001,2.3087863922,2.5486660004,2.6238574982,2.7341594696,1.0462532043000001,1.2861328125,1.3613243103000001,1.4716262816999999,0.2398796082,0.315071106,0.4253730774,0.0751914978,0.1854934692,0.1103019714,0,0.0006841864,0
17,6.37482128091958e+18,1.23766725347495e+18,22.4153156281,21.6324653625,21.573560714699997,21.3811836243,21.1647624969,0.094732441,0.07381487639999999,0.051064789299999996,0.0379466116,0.0282253083,22.2999382019,-0.1153774262,0.6674728394,0.7263774872,0.9187545776,1.135175705,0.7828502656,0.8417549134000001,1.0341320038,1.2505531312,0.0589046478,0.2512817382,0.4677028656,0.19237709039999998,0.40879821780000003,0.2164211274,0,-1.05221843114123e-05,1
22,6.37482129809946e+18,1.23766725347567e+18,21.4678096771,20.7031784058,20.5087413788,20.5320358276,20.3426151276,0.0949869528,0.0740131885,0.051201980599999995,0.0380485617,0.0283011384,21.661754608200003,0.1939449311,0.9585762024,1.1530132294,1.1297187806,1.3191394806,0.7646312713,0.9590682983,0.9357738495,1.1251945495,0.19443702699999998,0.1711425782,0.3605632782,-0.0232944488,0.1661262512,0.1894207,0,0.0003107691,1
23,6.374856455628e+18,1.23766725347679e+18,21.3312950134,20.502433776900002,20.5562572479,20.7178115845,20.7489242554,0.0896474719,0.0698527023,0.0483237766,0.035909745800000004,0.0267102532,22.869222641,1.5379276276,2.3667888641,2.3129653931,2.1514110565,2.1202983856,0.8288612365000001,0.7750377654999999,0.6134834289,0.5823707579999999,-0.053823471,-0.21537780760000003,-0.24649047850000003,-0.16155433660000001,-0.1926670075,-0.0311126709,0,-0.0002848642,0
