,Unnamed: 0,g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
38,374,6.37886751162919e+18,1.2376679143443e+18,21.8051338196,21.5356941223,20.4351024628,19.6136665344,19.2376003265,0.1502769887,0.1170948073,0.0810056478,0.0601958781,0.0447746739,21.445390701300003,21.7263717651,-0.3597431183,-0.090303421,1.0102882385,1.8317241669,2.2077903748,0.2694396973,1.3700313568,2.1914672852,2.5675334931,1.1005916595,1.9220275879,2.2980937958000003,0.8214359284,1.1975021363,0.3760662079,-0.2809810638,0.0787620545,-0.1906776428,-1.2912693023,-2.1127052307,-2.4887714386,1,0.0,1
46,415,6.3790434120148e+18,1.23766829391e+18,20.40275383,20.1272964478,20.490251541099997,20.7139434814,20.8750934601,0.0828818157,0.0645809472,0.0446768031,0.033199653,0.0246944427,19.9094295502,20.1672496796,-0.4933242798,-0.21786689760000005,-0.5808219909000001,-0.8045139312,-0.9656639099,0.2754573822,-0.0874977111,-0.3111896514,-0.4723396301,-0.3629550933,-0.5866470336,-0.7477970123000001,-0.2236919403,-0.384841919,-0.1611499787,-0.2578201294,0.2355041504,-0.0399532318,0.3230018615,0.5466938018,0.7078437805,1,6.7661349021364e-05,0
114,1108,6.38020445012283e+18,1.2376788595519e+18,22.771701812699998,21.6230831146,21.5957107544,21.6096248627,21.4811172485,0.2909789681,0.2267288417,0.1568499655,0.116556339,0.0866964981,21.989253997800002,22.0219345093,-0.7824478148999999,0.3661708832,0.3935432434,0.3796291351,0.5081367493,1.1486186981,1.1759910583,1.16207695,1.2905845642,0.0273723602,0.0134582519,0.1419658661,-0.0139141083,0.1145935059,0.1285076142,-0.0326805115,0.7497673034000001,-0.3988513947,-0.4262237549,-0.4123096466,-0.5408172608,1,-0.0001970142,0
255,2817,6.37897303575443e+18,1.23765037102517e+18,19.0645427704,19.156879425,19.6231117249,19.9014587402,20.0729255676,0.105693914,0.0823559836,0.0569734871,0.0423374064,0.031491253500000004,18.838510513299997,18.7964267731,-0.2260322571,-0.31836891170000003,-0.7846012116,-1.0629482269,-1.2344150543,-0.0923366546,-0.5585689545,-0.8369159698,-1.0083827972,-0.4662322999,-0.7445793152,-0.9160461426,-0.2783470153,-0.4498138427,-0.1714668274,0.0420837402,0.2681159973,0.3604526519,0.8266849518000001,1.1050319671,1.2764987945,1,0.0001883177,0
318,3057,6.37907856417463e+18,1.23765849173819e+18,18.8956794739,18.9937000275,19.319538116500002,19.5333366394,19.7055187225,0.1785974801,0.1391619444,0.0962715894,0.0715401098,0.0532126985,19.0717010498,19.5426502228,0.1760215759,0.0780010223,-0.2478370667,-0.4616355896,-0.6338176727,-0.0980205536,-0.4238586426,-0.6376571655,-0.8098392486,-0.325838089,-0.5396366119,-0.711818695,-0.2137985229,-0.385980606,-0.1721820831,-0.470949173,-0.6469707489000001,-0.5489501953,-0.2231121063,-0.0093135834,0.1628684997,1,-5.30408397025894e-05,0
373,3367,6.37844529486915e+18,1.23766509738983e+18,21.902145385700003,21.528783798200003,20.3076553345,19.4560337067,19.0543003082,0.0786652938,0.0612954646,0.0424039178,0.0315106548,0.0234381389,21.544790267899998,21.67943573,-0.3573551178,0.0160064697,1.2371349334,2.0887565612,2.4904899597,0.3733615875,1.5944900512,2.446111679,2.8478450775,1.2211284637,2.0727500915,2.47448349,0.8516216278000001,1.2533550263,0.4017333985,-0.1346454621,0.2227096557,-0.1506519318,-1.3717803955,-2.2234020233000003,-2.6251354218,1,0.0,1
378,3379,6.37925453864842e+18,1.23766510167962e+18,23.5118217468,21.7126998901,21.4027729034,21.0239677429,20.898443222,0.234716326,0.1828893721,0.1265220195,0.0940194204,0.069933176,22.8991355896,22.4399185181,-0.6126861572,1.1864356995,1.4963626862,1.8751678467,2.0006923676,1.7991218566999998,2.1090488434,2.4878540039,2.6133785248,0.3099269867,0.6887321472,0.8142566681,0.3788051605,0.5043296814,0.1255245209,0.4592170715,1.0719032287,-0.7272186279999999,-1.0371456147,-1.4159507752,-1.5414752961000002,1,4.49112267233431e-05,1
