,g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
1,6.37482128199543e+18,1.23766725347469e+18,20.7072734833,20.27891922,20.2154102325,19.8019199371,19.8191108704,0.1011452451,0.07881169019999999,0.054521560700000006,0.0405153632,0.0301359873,20.889692306500002,21.797416687,0.1824188232,0.6107730865,0.6742820740000001,1.0877723693999999,1.0705814361,0.4283542633,0.4918632508,0.9053535462000001,0.8881626129000001,0.0635089875,0.4769992829,0.4598083496,0.4134902954,0.3962993621,-0.0171909333,-0.9077243804999999,-1.0901432037,-1.518497467,-1.5820064544999999,-1.9954967499,-1.9783058166,1,0.5524873136999999,1
2,6.3748212991753e+18,1.23766725347554e+18,20.3217792511,19.8740787506,19.9077281952,20.0359668732,19.862165451,0.08370380849999999,0.0652214438,0.045119892800000005,0.0335289165,0.0249393526,19.7577495575,21.9861373901,-0.5640296936,-0.1163291931,-0.1499786377,-0.2782173157,-0.1044158935,0.4477005005,0.4140510559,0.28581237789999997,0.45961380009999997,-0.0336494446,-0.1618881226,0.0119132996,-0.128238678,0.0455627442,0.1738014222,-2.2283878325999997,-1.664358139,-2.1120586395,-2.0784091949000003,-1.9501705168999999,-2.1239719391,1,0.86360991,1
4,3.15055175085065e+18,1.23766725348124e+18,23.2775363922,20.7229480743,19.287693023699997,18.7899303436,18.3970489502,0.059368014299999994,0.046259153600000005,0.0320018679,0.023780817200000002,0.017688559399999998,22.8669567108,22.7999801636,-0.4105796814,2.1440086365,3.5792636870999996,4.0770263672,4.4699077606,2.5545883179,3.9898433685000003,4.4876060486,4.880487442,1.4352550506,1.9330177306999998,2.3258991240999998,0.49776268009999997,0.8906440735,0.39288139340000006,0.0669765472,0.4775562286,-2.0770320893000003,-3.5122871399,-4.01004982,-4.4029312134,1,0.3573325276,1
5,6.37777680683185e+18,1.23766725399223e+18,19.307905197100002,17.8607387543,17.1581630707,16.7578048706,16.5032196045,0.1625419855,0.12665161490000001,0.0876170024,0.0651088208,0.0484290048,20.1879653931,20.7451286316,0.880060196,2.3272266388,3.0298023224,3.4301605225,3.6847457886000003,1.4471664428,2.1497421264,2.5501003265,2.8046855926,0.7025756836,1.1029338837,1.3575191497999999,0.4003582001,0.6549434662,0.2545852661,-0.5571632385,-1.4372234345,-2.8843898773000003,-3.5869655608999995,-3.9873237610000003,-4.2419090271,1,0.0896993354,1
7,3.152275785083e+18,1.2376672539959e+18,24.6062374115,21.7989521027,21.941276550300003,22.1240577698,21.5783462524,0.1456423849,0.11348355560000001,0.07850740099999999,0.058339413300000004,0.043393805599999995,23.4094562531,23.663230895999998,-1.1967811584,1.6105041504,1.4681797028,1.2853984833,1.8311100006999999,2.8072853088,2.6649608612,2.4821796416999997,3.0278911591,-0.1423244476,-0.3251056671,0.22060585030000002,-0.18278121949999998,0.3629302979,0.5457115174,-0.2537746429,0.9430065154999999,-1.8642787933000002,-1.7219543457,-1.5391731262000001,-2.0848846436,1,2.201130867,0
8,3.152275785083e+18,1.2376672539959e+18,24.6062374115,21.7989521027,21.941276550300003,22.1240577698,21.5783462524,0.1456423849,0.11348355560000001,0.07850740099999999,0.058339413300000004,0.043393805599999995,23.4094562531,23.663230895999998,-1.1967811584,1.6105041504,1.4681797028,1.2853984833,1.8311100006999999,2.8072853088,2.6649608612,2.4821796416999997,3.0278911591,-0.1423244476,-0.3251056671,0.22060585030000002,-0.18278121949999998,0.3629302979,0.5457115174,-0.2537746429,0.9430065154999999,-1.8642787933000002,-1.7219543457,-1.5391731262000001,-2.0848846436,1,2.1994464397,0
9,6.37770639943297e+18,1.23766725399636e+18,20.4771327972,20.077293395999998,19.9987812042,19.8804130554,19.8560218811,0.1534979194,0.11960453539999999,0.082741864,0.0614860728,0.0457343422,20.6482410431,21.1768379211,0.1711082459,0.5709476471,0.6494598389,0.7678279876999999,0.792219162,0.3998394012,0.47835159299999996,0.5967197418,0.6211109161,0.07851219179999999,0.19688034059999998,0.2212715149,0.1183681488,0.1427593231,0.024391174300000002,-0.528596878,-0.6997051239000001,-1.0995445251,-1.1780567169,-1.2964248657,-1.32081604,1,0.7137663364,1
10,6.37767118821733e+18,1.23766725399957e+18,19.0365829468,19.1959781647,18.7341747284,18.7553272247,18.847385406500003,0.1282745749,0.0999506786,0.0691454113,0.0513824522,0.038219105499999996,19.5350646973,21.4110527039,0.4984817505,0.3390865326,0.8008899689,0.7797374726,0.6876792908,-0.1593952179,0.3024082184,0.2812557221,0.18919754030000002,0.46180343630000004,0.44065094,0.3485927582,-0.0211524963,-0.1132106781,-0.0920581818,-1.8759880065999999,-2.3744697571,-2.2150745391999997,-2.6768779755,-2.6557254792,-2.5636672974,1,1.2513934374,1
11,6.38787463142703e+18,1.23766725400494e+18,21.0482807159,20.327041626,20.3341121674,20.3886013031,20.1373634338,0.1151870117,0.0897529423,0.0620906688,0.046140018899999996,0.0343196988,20.717592239400002,21.473268508900002,-0.3306884765,0.3905506134,0.383480072,0.3289909363,0.5802288056,0.7212390899,0.7141685484999999,0.6596794128,0.9109172820999999,-0.0070705414,-0.0615596771,0.18967819219999998,-0.0544891357,0.1967487336,0.25123786929999997,-0.7556762695,-0.42498779299999995,-1.1462268829,-1.1391563415000001,-1.0846672058,-1.3359050751000001,1,0.7434645891,1
12,6.3878746561231e+18,1.23766725400678e+18,20.4512729645,20.1566314697,20.0938892365,19.8942661285,19.8032417297,0.10533867779999999,0.082079187,0.0567819998,0.04219511150000001,0.031385410600000004,21.288261413599997,21.4719047546,0.8369884490999999,1.1316299439,1.1943721771,1.3939952851,1.4850196838999998,0.2946414948,0.35738372799999996,0.557006836,0.6480312348,0.0627422332,0.2623653412,0.35338974,0.19962310800000002,0.2906475068,0.0910243988,-0.18364334100000002,-1.0206317901000002,-1.3152732849,-1.3780155181,-1.5776386261000002,-1.6686630249,1,1.5878230333,1
