,g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
292,6.37872671615877e+18,1.23766778283524e+18,20.5481414795,20.1568431854,20.3998584747,20.7061977386,20.8606700897,0.0832581818,0.0648742095,0.0448796786,0.0333504118,0.0248065796,20.5377674103,20.3914642334,-0.0103740692,0.3809242249,0.1379089356,-0.1684303283,-0.3229026794,0.39129829409999994,0.1482830048,-0.1580562591,-0.3125286102,-0.2430152893,-0.5493545532,-0.7038269043000001,-0.3063392639,-0.460811615,-0.1544723511,0.1463031769,0.1566772461,-0.234621048,0.0083942413,0.3147335052,0.4692058563,0,0.0004603637,0
293,3.056820583606e+18,1.23766778283563e+18,22.1345767975,21.2551345825,21.2245941162,21.070549011199997,21.0809803009,0.0807411447,0.0629129559,0.043522890700000004,0.0323421694,0.024056633900000002,23.2937717438,23.2719936371,1.1591949463,2.0386371613,2.0691776276,2.2232227326,2.2127914429,0.879442215,0.9099826812999999,1.0640277863,1.0535964966,0.0305404663,0.1845855713,0.1741542816,0.154045105,0.1436138153,-0.0104312897,0.0217781067,-1.1374168396,-2.0168590546000003,-2.0473995209,-2.2014446259000002,-2.1910133362,0,-0.0005044886,1
294,6.37872673870735e+18,1.2376677828359e+18,20.2211608887,20.0164146423,20.3691558838,20.7020931244,20.9168758392,0.0636563376,0.0496005863,0.0343134552,0.025498576499999998,0.0189662557,19.8206882477,19.4284324646,-0.400472641,-0.19572639460000002,-0.5484676361,-0.8814048767,-1.0961875915000001,0.2047462464,-0.1479949951,-0.4809322357,-0.6957149505,-0.35274124149999997,-0.6856784820999999,-0.9004611968999999,-0.33293724059999996,-0.5477199554,-0.2147827148,0.39225578310000003,0.7927284241,0.5879821777,0.9407234192,1.2736606598,1.4884433746,0,-0.00047777919999999997,0
307,6.38263215569083e+18,1.23766778335776e+18,19.5745315552,19.67710495,20.0068149567,20.3174858093,20.3629512787,0.11592076720000001,0.0903246775,0.0624861903,0.0464339368,0.0345383175,19.50274086,19.923044204700002,-0.07179069519999999,-0.17436409,-0.5040740967,-0.8147449493000001,-0.8602104187,-0.10257339480000001,-0.4322834015,-0.7429542540999999,-0.7884197234999999,-0.3297100067,-0.6403808593,-0.6858463287000001,-0.3106708526,-0.356136322,-0.04546546940000001,-0.42030334469999997,-0.34851264950000005,-0.2459392547,0.083770752,0.3944416046,0.439907074,0,0.00028366810000000003,0
330,6.37862114371515e+18,1.23766778391206e+18,19.7776908875,19.726589202899998,20.1179046631,20.4052791595,20.9433631897,0.10537014900000001,0.0821037069,0.056798964699999996,0.042207717900000004,0.0313947871,19.423658371,19.4119377136,-0.3540325165,-0.30293083190000003,-0.6942462920999999,-0.9816207884999999,-1.5197048187,0.0511016846,-0.34021377560000005,-0.627588272,-1.1656723022,-0.3913154602,-0.6786899566,-1.2167739868,-0.2873744964,-0.8254585266,-0.5380840302000001,0.011720657399999999,0.3657531739,0.3146514893,0.7059669495,0.9933414459000001,1.5314254761000001,0,-0.0002503793,0
356,6.37872668716774e+18,1.23766791112924e+18,20.334911346400002,20.0971088409,20.4682922363,20.7919998169,21.2267246246,0.1259804666,0.0981631279,0.0679087937,0.0504635125,0.0375355817,20.2298526764,20.0857887268,-0.10505867,0.13274383550000002,-0.2384395599,-0.5621471404999999,-0.9968719481999999,0.2378025055,-0.1333808899,-0.45708847049999995,-0.8918132781999999,-0.3711833954,-0.6948909759999999,-1.1296157837,-0.3237075806,-0.7584323882999999,-0.43472480770000005,0.14406394960000002,0.2491226196,0.011320114099999999,0.3825035095,0.7062110901,1.1409358978,0,-0.0004523227,0
367,6.3787267451498e+18,1.23766791220619e+18,20.4341392517,20.134590148900003,20.3880691528,20.7080478668,20.946332931500002,0.0533622578,0.041579511,0.0287645124,0.021375116,0.015899159,20.3123283386,20.1678314209,-0.1218109131,0.1777381897,-0.07574081419999999,-0.3957195282,-0.6340045929,0.2995491028,0.046070098899999995,-0.27390861510000003,-0.5121936798,-0.2534790039,-0.5734577179,-0.8117427826000001,-0.319978714,-0.5582637787,-0.2382850647,0.1444969177,0.2663078308,-0.033241272,0.2202377319,0.5402164459000001,0.7785015106000001,0,-0.0003619165,0
374,6.37886751162919e+18,1.2376679143443e+18,21.8051338196,21.5356941223,20.4351024628,19.6136665344,19.2376003265,0.1502769887,0.1170948073,0.0810056478,0.060195878099999996,0.0447746739,21.445390701300003,21.7263717651,-0.3597431183,-0.090303421,1.0102882385,1.8317241669,2.2077903748,0.2694396973,1.3700313568,2.1914672852,2.5675334931,1.1005916595,1.9220275879,2.2980937958000003,0.8214359284,1.1975021363,0.3760662079,-0.2809810638,0.0787620545,-0.19067764280000002,-1.2912693023000001,-2.1127052307,-2.4887714386,1,0.0,1
378,6.37872674192858e+18,1.23766791488406e+18,19.4686374664,19.1837501526,19.4790058136,19.6811351776,20.0372428894,0.139561817,0.1087456197,0.0752297193,0.055903744000000005,0.041582115,19.3339824677,19.0468788147,-0.1346549987,0.15023231509999999,-0.1450233459,-0.3471527099,-0.7032604217,0.2848873138,-0.0103683472,-0.21249771120000002,-0.5686054229999999,-0.295255661,-0.497385025,-0.8534927368,-0.20212936399999998,-0.5582370757999999,-0.3561077118,0.287103653,0.42175865170000004,0.1368713379,0.4321269989,0.6342563629,0.9903640747,0,-0.0001222939,0
389,6.38347659994832e+18,1.23766796803244e+18,19.785242080699998,19.6938991547,20.0130634308,20.298995971700002,20.5361690521,0.1440706551,0.1122588739,0.0776601732,0.0577098317,0.042925510599999994,19.6298351288,19.50182724,-0.1554069519,-0.0640640259,-0.383228302,-0.6691608429,-0.9063339233,0.09134292599999999,-0.22782135010000001,-0.513753891,-0.7509269714,-0.3191642761,-0.6050968170000001,-0.8422698973999999,-0.2859325409,-0.5231056213,-0.23717308039999999,0.1280078888,0.2834148407,0.19207191469999998,0.5112361907999999,0.7971687317,1.0343418120999999,0,7.39808456273749e-05,0
393,6.38347664075051e+18,1.23766827137211e+18,21.3581829071,20.436727523800002,19.865531921400002,19.610912323,19.2719173431,0.1494882852,0.1164802685,0.0805805102,0.059879954900000004,0.0445396826,20.9770469666,20.7998085022,-0.3811359405,0.5403194428,1.1115150452,1.3661346436000001,1.7051296235,0.9214553833,1.4926509856999999,1.7472705841,2.086265564,0.5711956024,0.8258152007999999,1.1648101807,0.2546195984,0.5936145783,0.33899497990000005,0.17723846440000002,0.5583744049,-0.36308097840000003,-0.9342765808,-1.1888961792000001,-1.5278911591,0,-0.0004413737,1
396,6.38273773350316e+18,1.23766827244841e+18,20.858549118,20.37550354,20.5346927643,20.6962337494,20.726858139,0.2004287541,0.1561727226,0.1080395654,0.0802849755,0.059717275199999996,21.2659511566,21.437204361,0.4074020386,0.8904476165999999,0.7312583923,0.5697174072,0.5390930176,0.483045578,0.3238563537,0.16231536859999998,0.131690979,-0.1591892243,-0.3207302094,-0.351354599,-0.1615409851,-0.19216537469999997,-0.0306243896,-0.17125320440000003,-0.5786552429999999,-1.0617008209999999,-0.9025115967,-0.7409706116,-0.7103462220000001,0,-0.0003200683,0
399,6.38263218682934e+18,1.23766828854614e+18,22.7731609344,22.045595169099997,21.9347782135,22.0684318542,21.605091095,0.1556897908,0.121312432,0.08392337710000002,0.0623640642,0.046387404199999996,22.365802764899996,21.982603073099998,-0.40735816950000003,0.32020759579999997,0.4310245514,0.2973709107,0.7607116698999999,0.7275657653000001,0.8383827209,0.7047290801999999,1.1680698394,0.1108169556,-0.022836685099999997,0.4405040741,-0.1336536407,0.32968711850000004,0.4633407592,0.3831996918,0.7905578612999999,0.062992096,-0.0478248596,0.08582878109999999,-0.37751197810000003,0,0.0024360392999999998,0
407,6.37767123331449e+18,1.23766829015525e+18,21.4635162354,20.929857254,21.0056533813,20.734113693199998,20.062417984,0.1316180676,0.1025559083,0.0709476992,0.0527217463,0.039215292799999996,21.548007965100002,21.710117340100002,0.0844917297,0.6181507111,0.5423545838,0.8138942719,1.4855899811000002,0.5336589814,0.45786285409999994,0.7294025422,1.4010982513999999,-0.0757961273,0.1957435608,0.86743927,0.2715396881,0.9432353973000001,0.6716957092,-0.162109375,-0.2466011047,-0.7802600861,-0.7044639587999999,-0.9760036469,-1.6476993561000002,0,0.0003474563,1
412,6.37904340235112e+18,1.23766829283561e+18,20.4721775055,20.2806110382,20.2847728729,20.3758354187,20.4954891205,0.0821415931,0.0640041679,0.044277787199999995,0.0329031423,0.0244738925,21.0328960419,22.2446136475,0.5607185364,0.7522850037000001,0.7481231690000001,0.6570606232,0.5374069214,0.19156646730000002,0.1874046326,0.09634208679999999,-0.023311615,-0.0041618346999999995,-0.09522438050000001,-0.2148780823,-0.0910625458,-0.21071624760000002,-0.1196537018,-1.2117176056,-1.7724361419999999,-1.9640026093,-1.9598407746000002,-1.8687782287999999,-1.749124527,0,-0.0003132791,1
