g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
6.37485650072725E+018,1.23766725401674E+018,21.1278438568,20.4236278534,20.2459030151,20.2673301697,20.0658111572,0.0854961649,0.0666180328,0.0460860468,0.0342468694,0.0254733805,20.921125412,21.3678226471,-0.2067184448,0.4974975586,0.6752223969,0.6537952423,0.8553142548,0.7042160034,0.8819408417,0.8605136871,1.0620326996,0.1777248383,0.1562976837,0.3578166962,-0.0214271546,0.1800918579,0.2015190125,-0.4466972351,-0.2399787903,-0.9441947937,-1.121919632,-1.1004924774,-1.3020114899,1,0.900834322,1
6.37489166255077E+018,1.23766725401818E+018,22.4244709015,21.302854538,21.0662746429,21.1053085327,20.6762065887,0.0635309517,0.0495028906,0.034245871,0.0254483502,0.0189288985,22.5138893127,22.1311836243,0.0894184112,1.2110347747,1.4476146698,1.40858078,1.837682724,1.1216163635,1.3581962586,1.3191623688,1.7482643128,0.2365798951,0.1975460053,0.6266479493,-0.0390338898,0.3900680542,0.429101944,0.3827056884,0.2932872772,-0.8283290863,-1.0649089814,-1.0258750916,-1.4549770356,0,2.83138015220175E-05,1
2.48528564339501E+018,1.23766725453205E+018,22.2342414856,21.5615444183,21.4118862152,21.4673633575,20.7410087585,0.1156699955,0.0901292786,0.0623510145,0.0463334881,0.034463603,22.6975269318,23.423614502,0.4632854462,1.1359825135,1.2856407166,1.2301635743,1.9565181733,0.6726970673,0.8223552704,0.7668781281,1.4932327271,0.1496582031,0.0941810608,0.8205356598,-0.0554771423,0.6708774567,0.726354599,-0.7260875702,-1.1893730164,-1.8620700837,-2.0117282868,-1.9562511445,-2.6826057435,1,0.8050163984,1
6.37841011264455E+018,1.23766725454129E+018,20.7803707123,20.2048950195,19.967962265,19.8306102753,19.6503067017,0.1449029893,0.112907432,0.0781088397,0.0580432378,0.0431735031,21.1450042725,21.4792804718,0.3646335602,0.940109253,1.1770420075,1.3143939972,1.4946975708,0.5754756928,0.8124084473,0.949760437,1.1300640106,0.2369327545,0.3742847442,0.5545883178,0.1373519897,0.3176555633,0.1803035736,-0.3342761993,-0.6989097595,-1.2743854523,-1.5113182068,-1.6486701965,-1.8289737701,1,0.7689560652,1
6.38787465504935E+018,1.23766725454378E+018,20.1320323944,20.1504631042,20.331987381,20.502620697,20.9663619995,0.1094460711,0.0852796361,0.058996059,0.0438403934,0.0326091982,20.6993560791,21.5738811493,0.5673236847,0.5488929749,0.3673686981,0.1967353821,-0.2670059204,-0.0184307098,-0.1999549866,-0.3705883026,-0.8343296051,-0.1815242768,-0.3521575928,-0.8158988953,-0.170633316,-0.6343746185,-0.4637413025,-0.8745250702,-1.4418487549,-1.4234180451,-1.2418937683,-1.0712604523,-0.6075191498,1,5.8599386215,0
6.38787467115548E+018,1.2376672545447E+018,20.4457073212,20.1568374634,19.9445037842,19.6664390564,19.732875824,0.0757142752,0.0589960478,0.0408131927,0.0303285774,0.0225588884,20.4518585205,21.2410259247,0.0061511993,0.2950210571,0.5073547363,0.7854194641,0.7189826965,0.2888698578,0.501203537,0.7792682648,0.7128314972,0.2123336792,0.490398407,0.4239616394,0.2780647278,0.2116279602,-0.0664367676,-0.7891674042,-0.7953186035,-1.0841884613,-1.2965221405,-1.5745868683,-1.5081501007,1,0.5986626744,1
6.37482124226698E+018,1.23766725454581E+018,21.0454730988,20.6812152863,20.4826488495,20.6245994568,20.6860046387,0.091436632,0.0712468103,0.0492882095,0.0366264246,0.0272433292,21.150352478,21.5505886078,0.1048793792,0.4691371917,0.6677036285,0.5257530212,0.4643478393,0.3642578125,0.5628242493,0.420873642,0.3594684601,0.1985664368,0.0566158295,-0.0047893524,-0.1419506073,-0.2033557892,-0.0614051819,-0.4002361298,-0.505115509,-0.8693733215,-1.0679397583,-0.925989151,-0.8645839691,1,0.9565747976,1
6.37482124763569E+018,1.23766725454666E+018,20.5582237244,20.4895954132,20.2470722198,20.2073154449,20.1417808533,0.078785941,0.0613894723,0.0424689539,0.031558983,0.0234740861,21.1829166412,21.7904262543,0.6246929168,0.693321228,0.9358444214,0.9756011963,1.0411357879,0.0686283112,0.3111515046,0.3509082795,0.4164428711,0.2425231934,0.2822799683,0.3478145599,0.0397567749,0.1052913665,0.0655345916,-0.6075096131,-1.2322025299,-1.3008308411,-1.5433540345,-1.5831108094,-1.648645401,1,1.2594370842,1
6.37482127340549E+018,1.23766725454823E+018,20.2323532104,19.8739700317,19.8901977539,19.7166175842,19.4622650146,0.0984540358,0.0767147169,0.0530708842,0.0394373536,0.0293341465,20.109085083,21.0382614136,-0.1232681274,0.2351150513,0.2188873291,0.3924674988,0.6468200684,0.3583831787,0.3421554565,0.5157356262,0.7700881958,-0.0162277222,0.1573524475,0.4117050171,0.1735801697,0.4279327393,0.2543525696,-0.9291763306,-0.8059082032,-1.1642913819,-1.1480636597,-1.3216438294,-1.575996399,1,0.6563230157,1
6.37482127340549E+018,1.2376672545483E+018,20.3897705078,19.9766349792,19.9390983582,19.842124939,19.7791538239,0.1000785828,0.0779805556,0.0539465882,0.0400880948,0.0298181791,20.4825839996,21.5370445251,0.0928134918,0.5059490204,0.5434856414,0.6404590606,0.7034301757,0.4131355286,0.4506721496,0.5476455688,0.6106166839,0.037536621,0.1345100402,0.1974811553,0.0969734192,0.1599445343,0.0629711151,-1.0544605255,-1.1472740173,-1.5604095459,-1.5979461669,-1.6949195861,-1.7578907012,1,0.6863358021,1
6.37482127340549E+018,1.23766725454837E+018,19.7941150665,19.3049583435,19.1390342712,18.6708812714,18.5214214325,0.1023542136,0.0797537044,0.0551732443,0.0409996361,0.030496195,20.7789230347,21.4525680542,0.9848079682,1.4739646912,1.6398887635,2.1080417633,2.2575016022,0.489156723,0.6550807953,1.1232337951,1.272693634,0.1659240723,0.6340770721,0.783536911,0.4681529998,0.6176128387,0.1494598389,-0.6736450195,-1.6584529877,-2.1476097107,-2.313533783,-2.7816867828,-2.9311466217,1,0.5963221192,1
3.0558706055596E+018,1.23766725507934E+018,21.7073669434,21.2422275543,20.9321269989,20.6671047211,20.2759647369,0.1260006577,0.0981788635,0.0679196864,0.0504716039,0.0375416018,23.365530014,23.3172702789,1.6581630706,2.1233024597,2.4334030151,2.6984252929,3.0895652771,0.4651393891,0.7752399445,1.0402622223,1.4314022065,0.3101005554,0.5751228332,0.9662628174,0.2650222778,0.656162262,0.3911399842,0.0482597351,-1.6099033355,-2.0750427246,-2.38514328,-2.6501655578,-3.041305542,1,1.4170626402,1
6.38787464753316E+018,1.23766725508045E+018,20.9046020508,20.2021503448,19.6964111328,19.4966964722,19.4110946655,0.1028350592,0.0801283866,0.0554324463,0.0411922485,0.030639464,21.6669502258,21.8267364502,0.762348175,1.464799881,1.970539093,2.1702537536,2.2558555603,0.702451706,1.208190918,1.4079055786,1.4935073853,0.505739212,0.7054538726,0.7910556793,0.1997146606,0.2853164673,0.0856018067,-0.1597862244,-0.9221343994,-1.6245861054,-2.1303253174,-2.330039978,-2.4156417847,1,1.0834798813,1
6.38787466256555E+018,1.23766725508117E+018,19.9383411407,19.916557312,19.5303878784,19.5704441071,19.6551780701,0.0761550739,0.0593395196,0.0410508066,0.0305051487,0.0226902254,20.6171016693,21.6067466736,0.6787605286,0.7005443573,1.0867137909,1.0466575622,0.9619235992,0.0217838287,0.4079532623,0.3678970336,0.2831630706,0.3861694336,0.3461132049,0.2613792419,-0.0400562287,-0.1247901917,-0.084733963,-0.9896450043,-1.6684055329,-1.6901893616,-2.0763587952,-2.0363025665,-1.9515686035,1,1.329654336,1
6.38787466256555E+018,1.23766725508117E+018,19.9383411407,19.916557312,19.5303878784,19.5704441071,19.6551780701,0.0761550739,0.0593395196,0.0410508066,0.0305051487,0.0226902254,20.6171016693,21.6067466736,0.6787605286,0.7005443573,1.0867137909,1.0466575622,0.9619235992,0.0217838287,0.4079532623,0.3678970336,0.2831630706,0.3861694336,0.3461132049,0.2613792419,-0.0400562287,-0.1247901917,-0.084733963,-0.9896450043,-1.6684055329,-1.6901893616,-2.0763587952,-2.0363025665,-1.9515686035,1,1.3290996552,1
2.48683375576692E+018,1.23766728781293E+018,22.1031417847,20.5716743469,20.2528038025,20.1301441193,19.8028564453,0.100043118,0.0779529214,0.05392747,0.0400738902,0.0298076104,22.9465484619,23.7414169312,0.8434066772,2.374874115,2.6937446594,2.8164043426,3.1436920166,1.5314674378,1.8503379822,1.9729976654,2.3002853394,0.3188705444,0.4415302276,0.7688179016,0.1226596832,0.4499473572,0.327287674,-0.7948684693,-1.6382751465,-3.1697425843,-3.4886131287,-3.6112728119,-3.9385604859,0,-0.0001203898,1
6.38787462927955E+018,1.23766728781306E+018,19.9601097107,19.8050022125,19.4964847565,19.4451351166,19.3912944794,0.1132479087,0.0882420018,0.0610454082,0.0453632809,0.0337419473,20.6057090759,21.5400905609,0.6455993652,0.8007068634,1.1092243194,1.1605739593,1.2144145965,0.1551074982,0.4636249542,0.5149745941,0.5688152313,0.308517456,0.3598670959,0.4137077331,0.0513496399,0.1051902771,0.0538406372,-0.934381485,-1.5799808502,-1.7350883484,-2.0436058044,-2.0949554443,-2.1487960815,1,1.1573660374,1
6.38787462927955E+018,1.23766728834993E+018,22.0461654663,21.5725154877,21.4677639008,21.3088111877,21.1442890167,0.0861346051,0.0671155006,0.0464301929,0.0345026106,0.0256636031,21.5970611572,22.1985530853,-0.4491043091,0.0245456695,0.1292972564,0.2882499695,0.4527721405,0.4736499786,0.5784015655,0.7373542786,0.9018764496,0.1047515869,0.2637043,0.428226471,0.1589527131,0.3234748841,0.164522171,-0.6014919281,-0.152387619,-0.6260375976,-0.7307891845,-0.8897418976,-1.0542640686,1,0.854989171,1
6.37841013089816E+018,1.23766728888589E+018,21.8512859344,21.3119850159,21.193523407,21.0306243896,21.4056453705,0.1108424515,0.0863676891,0.0597487688,0.0443997383,0.0330252461,21.2306594849,21.7403011322,-0.6206264495,-0.081325531,0.0371360779,0.2000350953,-0.1749858856,0.5393009185,0.6577625274,0.8206615448,0.4456405639,0.1184616089,0.2813606263,-0.0936603546,0.1628990174,-0.2121219635,-0.3750209809,-0.5096416473,0.1109848022,-0.4283161163,-0.5467777252,-0.7096767426,-0.3346557617,1,0.7461391091,1
6.3784101319719E+018,1.23766728888628E+018,20.2491321564,19.6565322876,19.0872249603,18.854631424,18.4054031372,0.0967009217,0.0753487051,0.0521258861,0.0387351178,0.0288118124,21.3608131409,22.1459503174,1.1116809845,1.7042808533,2.2735881806,2.5061817169,2.9554100037,0.5925998688,1.1619071961,1.3945007324,1.8437290192,0.5693073273,0.8019008636,1.2511291504,0.2325935363,0.6818218231,0.4492282868,-0.7851371765,-1.896818161,-2.4894180298,-3.0587253571,-3.2913188934,-3.7405471802,1,0.2863503397,1
6.3784101319719E+018,1.23766728942302E+018,20.2342433929,20.0507774353,19.4612388611,19.0355033875,18.8985080719,0.1004812345,0.0782942995,0.0541636348,0.0402493849,0.0299381465,20.9602031708,20.7651901245,0.7259597779,0.9094257355,1.4989643097,1.9246997833,2.0616950989,0.1834659576,0.7730045318,1.1987400054,1.335735321,0.5895385742,1.0152740478,1.1522693634,0.4257354736,0.5627307892,0.1369953156,0.1950130463,-0.5309467316,-0.7144126892,-1.3039512634,-1.729686737,-1.8666820526,1,0.2395781428,1
6.3784101319719E+018,1.23766728942309E+018,18.4113578796,17.7917785645,17.8151493073,17.769952774,17.4394626617,0.1037108377,0.0808107778,0.0559045225,0.0415430516,0.0309003983,19.4373073578,20.2290325165,1.0259494782,1.6455287933,1.6221580505,1.6673545838,1.9978446961,0.6195793151,0.5962085723,0.6414051056,0.9718952179,-0.0233707428,0.0218257905,0.3523159028,0.0451965333,0.3756866456,0.3304901123,-0.7917251587,-1.8176746369,-2.437253952,-2.4138832092,-2.4590797425,-2.7895698548,1,2.3357839584,1
6.3784101319719E+018,1.23766728942309E+018,18.4113578796,17.7917785645,17.8151493073,17.769952774,17.4394626617,0.1037108377,0.0808107778,0.0559045225,0.0415430516,0.0309003983,19.4373073578,20.2290325165,1.0259494782,1.6455287933,1.6221580505,1.6673545838,1.9978446961,0.6195793151,0.5962085723,0.6414051056,0.9718952179,-0.0233707428,0.0218257905,0.3523159028,0.0451965333,0.3756866456,0.3304901123,-0.7917251587,-1.8176746369,-2.437253952,-2.4138832092,-2.4590797425,-2.7895698548,1,2.334300518,1
6.37767117640617E+018,1.23766729212074E+018,20.2589359283,19.9291954041,19.9986133575,20.0338935852,20.2468643188,0.1787232459,0.1392599493,0.0963393822,0.0715904906,0.0532501712,21.3694419861,21.5559329987,1.1105060578,1.440246582,1.3708286286,1.3355484009,1.1225776673,0.3297405242,0.2603225708,0.2250423431,0.0120716095,-0.0694179534,-0.1046981811,-0.3176689147,-0.0352802277,-0.2482509613,-0.2129707336,-0.1864910126,-1.2969970704,-1.6267375946,-1.5573196412,-1.5220394135,-1.3090686799,0,0.0001544496,0
6.37781193000066E+018,1.23766729318669E+018,20.8133716583,20.4031162262,20.3718070984,20.1869468689,19.7428607941,0.0953870565,0.0743249431,0.0514176525,0.0382088274,0.0284203477,20.9299755096,20.5829372406,0.1166038513,0.5268592834,0.5581684112,0.7430286407,1.1871147155,0.4102554321,0.4415645599,0.6264247894,1.0705108642,0.0313091278,0.2161693573,0.6602554321,0.1848602295,0.6289463043,0.4440860748,0.347038269,0.2304344177,-0.1798210144,-0.2111301422,-0.3959903717,-0.8400764465,1,0.408434242,1
3.72131263487568E+018,1.23766729318787E+018,21.7120113373,21.2987823486,20.2659835815,19.5110702515,19.2393398285,0.1265619993,0.0986162499,0.068222262,0.0506964549,0.0377088487,22.0549125671,22.8044281006,0.3429012298,0.7561302185,1.7889289856,2.5438423156,2.8155727386,0.4132289887,1.4460277558,2.2009410858,2.4726715088,1.0327987671,1.7877120971,2.0594425201,0.75491333,1.026643753,0.271730423,-0.7495155335,-1.0924167633,-1.505645752,-2.5384445191,-3.2933578491,-3.5650882721,1,0.4594523013,1
6.3748213120602E+018,1.23766732164294E+018,19.9684276581,19.6026439667,19.3647041321,19.0811138153,18.9650535583,0.1182356849,0.0921284482,0.0637340322,0.0473612174,0.0352280438,20.3413791656,21.661190033,0.3729515075,0.7387351989,0.9766750335,1.2602653503,1.3763256073,0.3657836914,0.603723526,0.8873138428,1.0033740998,0.2379398346,0.5215301514,0.6375904084,0.2835903168,0.3996505738,0.116060257,-1.3198108674,-1.6927623749,-2.0585460663,-2.2964859009,-2.5800762177,-2.6961364747,1,0.4842600524,1
6.3748213120602E+018,1.23766732164294E+018,19.7728328705,19.250295639,18.4534740448,18.0775566101,17.6135864258,0.1144768819,0.0891996101,0.0617078803,0.0458555669,0.0341081172,21.2164134979,21.7450237274,1.4435806274,1.9661178589,2.7629394531,3.1388568878,3.6028270721,0.5225372315,1.3193588257,1.6952762604,2.1592464447,0.7968215942,1.1727390289,1.6367092132,0.3759174347,0.839887619,0.4639701843,-0.5286102295,-1.9721908569,-2.4947280884,-3.2915496826,-3.6674671173,-4.1314373016,1,0.2995538414,1
