,Unnamed: 0,g_id,s_id,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,c,rs,pred
363,411,6.37904340235112e+18,1.23766829283561e+18,20.4721775055,20.2806110382,20.2847728729,20.3758354187,20.4954891205,0.0821415931,0.0640041679,0.0442777872,0.0329031423,0.0244738925,21.0328960419,22.2446136475,0.5607185364,0.7522850037000001,0.7481231690000001,0.6570606232,0.5374069214,0.1915664673,0.1874046326,0.0963420868,-0.023311615,-0.0041618347,-0.0952243805,-0.2148780823,-0.0910625458,-0.2107162476,-0.1196537018,-1.2117176056,-1.772436142,-1.9640026093,-1.9598407746,-1.8687782288,-1.749124527,0,0.6701145768,1
366,416,6.3790434120148e+18,1.23766829391e+18,20.40275383,20.1272964478,20.490251541099997,20.7139434814,20.8750934601,0.0828818157,0.0645809472,0.0446768031,0.033199653,0.0246944427,19.9094295502,20.1672496796,-0.4933242798,-0.21786689760000005,-0.5808219909000001,-0.8045139312,-0.9656639099,0.2754573822,-0.0874977111,-0.3111896514,-0.4723396301,-0.3629550933,-0.5866470336,-0.7477970123000001,-0.2236919403,-0.384841919,-0.1611499787,-0.2578201294,0.2355041504,-0.0399532318,0.3230018615,0.5466938018,0.7078437805,0,0.909643352,0
989,1109,6.38020445012283e+18,1.2376788595519e+18,22.771701812699998,21.6230831146,21.5957107544,21.6096248627,21.4811172485,0.2909789681,0.2267288417,0.1568499655,0.116556339,0.0866964981,21.989253997800002,22.0219345093,-0.7824478148999999,0.3661708832,0.3935432434,0.3796291351,0.5081367493,1.1486186981,1.1759910583,1.16207695,1.2905845642,0.0273723602,0.0134582519,0.1419658661,-0.0139141083,0.1145935059,0.1285076142,-0.0326805115,0.7497673034000001,-0.3988513947,-0.4262237549,-0.4123096466,-0.5408172608,0,5.3477592468,1
2543,2804,2.42392409847209e+18,1.23764996246077e+18,21.306613922100002,20.8543720245,19.670797348,18.8995838165,18.5525779724,0.3383828998,0.2636656463,0.1824026853,0.1355447471,0.1008203849,22.804170608499998,23.2390079498,1.4975566863999998,1.949798584,3.1333732605,3.904586792,4.2515926361,0.4522418976,1.6358165741,2.4070301056,2.7540359497000004,1.1835746765,1.954788208,2.3017940521,0.7712135315,1.1182193756,0.3470058441,-0.4348373413,-1.9323940277,-2.3846359253,-3.5682106018,-4.3394241333,-4.6864299774,0,0.8718046545999999,0
2555,2820,6.37897303575443e+18,1.23765037102517e+18,19.0645427704,19.156879425,19.6231117249,19.9014587402,20.0729255676,0.105693914,0.0823559836,0.0569734871,0.0423374064,0.031491253500000004,18.838510513299997,18.7964267731,-0.2260322571,-0.31836891170000003,-0.7846012116,-1.0629482269,-1.2344150543,-0.0923366546,-0.5585689545,-0.8369159698,-1.0083827972,-0.4662322999,-0.7445793152,-0.9160461426,-0.2783470153,-0.4498138427,-0.1714668274,0.0420837402,0.2681159973,0.3604526519,0.8266849518000001,1.1050319671,1.2764987945,0,2.5267598629,1
2730,3058,6.37907856417463e+18,1.23765849173819e+18,18.8956794739,18.9937000275,19.319538116500002,19.5333366394,19.7055187225,0.1785974801,0.1391619444,0.0962715894,0.0715401098,0.0532126985,19.0717010498,19.5426502228,0.1760215759,0.0780010223,-0.2478370667,-0.4616355896,-0.6338176727,-0.0980205536,-0.4238586426,-0.6376571655,-0.8098392486,-0.325838089,-0.5396366119,-0.711818695,-0.2137985229,-0.385980606,-0.1721820831,-0.470949173,-0.6469707489000001,-0.5489501953,-0.2231121063,-0.0093135834,0.1628684997,0,2.5959510803,1
2763,3103,6.37788232236715e+18,1.23766034392436e+18,20.5987472534,20.4323768616,20.6954040527,20.6250457764,21.481174469000006,0.247846812,0.193120569,0.1335999072,0.0992790535,0.0738453716,21.244884491,21.6119709015,0.6461372376,0.8125076294,0.5494804382999999,0.6198387146000001,-0.236289978,0.1663703918,-0.0966567993,-0.026298523,-0.8824272156,-0.2630271911,-0.1926689148,-1.0487976074,0.0703582763,-0.7857704163,-0.8561286926,-0.3670864105,-1.0132236481,-1.1795940399,-0.9165668488,-0.9869251251,-0.1307964325,0,0.0765808001,0
2993,3382,6.37925453864842e+18,1.23766510167962e+18,23.5118217468,21.7126998901,21.4027729034,21.0239677429,20.898443222,0.234716326,0.1828893721,0.1265220195,0.0940194204,0.069933176,22.8991355896,22.4399185181,-0.6126861572,1.1864356995,1.4963626862,1.8751678467,2.0006923676,1.7991218566999998,2.1090488434,2.4878540039,2.6133785248,0.3099269867,0.6887321472,0.8142566681,0.3788051605,0.5043296814,0.1255245209,0.4592170715,1.0719032287,-0.7272186279999999,-1.0371456147,-1.4159507752,-1.5414752961000002,0,1.3433884382,1
