Index,P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,Imputed Eccentricity,Imputed Eccentricity (EU),P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,,CDHS_CRS(0.5*CDHSi+0.5*CDHSe), CDHS_CRS(0.6*CDHSi+0.4*CDHSe),CDHS_DRS(0.5*CDHSi+0.5*CDHSe),CDHS_DRS(0.6*CDHSi+0.4*CDHSe)
0,55 Cnc e,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.1,,1.99,1.03,2.05,2.02,2308.751,2440.741,2582.373,1766,1790.4,1816.1,1809.1,6.3663194444,1859.2,8.3,-27.18,3.78,0.74,0.0154,0.03,0.03,0.0375,0.02,89.6,170,55 Cnc,HD 75732,HIP 43587,Cnc,K0IV-V,0.91,0.94,5196,0.581554,0.31,10.2,6,12.34,8.8769,28.3339,-35.2,33.0178,5,1,0.591,1.419,-2.39,0.06,-0.81,0.28,0,0,0,0.26,1,0,0,1,Primary Transit,2004,,4.177952,3.740359,4.17795,3.740357
1,61 Vir b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.09,5.09,,1.66,1.1,1.84,1.75,234.718,296.5414,380.1633,997.2,1054.4,1125,1038.6,3.8045138889,1166.3,5.6,-24.5,3.16,4.21,0.0502,0.12,0.12,0.15,0.05,,105,61 Vir,HD 115617,HIP 64924,Vir,G5V,0.95,0.94,5531,0.741925,-0.01,8.96,4.7,8.52,13.3067,-18.3111,-32.9,10.0643,3,0,0.656,1.556,-2.35,-0.15,-0.69,0.29,0,0,0,0.27,1,0,0,1,Radial Velocity,2009,,2.732177,2.51774,2.732177,2.51774
2,alf Cen B b,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.14,,1.09,0.89,0.97,1.03,308.7997,308.7997,308.7998,1068,1068,1068,1102.1,3.8267361111,1102.1,1,-23.61,2.06,3.24,0.04,0,0.1208217988,0.1510272485,0.04,,0,alf Cen B,HD 128621,HIP 71681,Cen,K1V,0.93,0.86,5214,0.49408,,,1.3,1.29,14.6597,-60.8375,-33,11.5197,1,0,0.545,1.306,-2.33,-0.17,-1.12,0.28,0,0,0,0.3,0,0,0,1,Radial Velocity,2012,,2.458278,2.184622,2.458279,2.184622
3,BD+20 594 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,11.77,16.31,,2.23,1.47,3.28,2.71,14.7045,14.7045,14.7045,498.9,498.9,498.9,546.5,1.8975694444,546.5,24,-21.85,4.24,41.69,0.241,0,0.1640344589,0.2050430736,0.24,89.5,0,BD+20 594,,,Tau,K0,0.96,0.93,5766,0.854052,-0.15,3.34,11,152.1,3.5767,20.5992,-29.7,2.0522,1,0,0.694,1.636,-1.96,-0.13,0.61,0.33,0,0,0,0.33,0,0,0,1,Primary Transit,2016,,2.469955,2.421962,2.469952,2.421958
4,BD-06 1339 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.58,8.58,,1.91,1.23,2.35,2.12,456.218,456.218,456.2181,1177.4,1177.4,1177.4,1221.5,4.2413194444,1221.5,10.6,-25.27,3.63,3.87,0.0428,0,0.1248645031,0.1560806289,0.04,,0,BD-06 1339,,HIP 27803,Ori,K7V/M0V,0.7,1.64,4324,0.835718,-0.14,4.4,6.7,20,5.8833,-5.9947,-33.4,20.5046,3,1,0.735,1.832,-2.26,-0.14,-0.54,0.3,0,0,0,0.26,1,0,0,1,Radial Velocity,2013,,3.075571,2.842455,3.07557,2.842454
5,CoRoT-7 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,4.74,,1.52,1.34,2.04,1.76,1458.282,1842.386,2361.921,1574.4,1664.6,1776.1,1616.3,5.9253472222,1818,6.4,-26.3,2.89,0.85,0.0172,0.12,0.12,0.15,0.02,80.1,0,CoRoT-7,,,Mon,K0V,0.93,0.87,5313,0.541113,0.03,1.5,11.7,150,6.7303,-1.0628,-34.9,27.4125,2,0,0.567,1.355,-2.4,-0.38,-0.9,0.28,0,0,0,0.28,0,0,0,1,Primary Transit,2009,,3.722527,3.282021,3.722527,3.282021
6,EPIC-206011691 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.31,,1.59,1.07,1.7,1.65,16.15,16.15,16.15,510.7,510.7,510.7,551.3,1.9142361111,551.3,4.6,-21.22,3.02,9.32,0.0731,0,0.159730146,0.1996626825,0.07,88.3,0,EPIC-206011691,,,Aqr,M0,0.64,0.6,4043,0.086299,-0.11,,12.8,65,22.6869,-14.489,-29.8,4.3752,2,0,0.238,0.601,-1.91,-0.15,-0.32,0.34,0,0,0,0.35,0,0,0,1,Primary Transit,2015,,1.752089,1.71967,1.752088,1.719669
7,EPIC-206011691 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.68,,1.92,1.24,2.37,2.13,8.198086,8.198087,8.198089,431.1,431.1,431.1,475.2,1.65,475.2,10.7,-20.89,3.64,15.5,0.1026,0,0.134716441,0.1683955513,0.1,89.1,0,EPIC-206011691,,,Aqr,M0,0.64,0.6,4043,0.086299,-0.11,,12.8,65,22.6869,-14.489,-29,3.1169,2,0,0.238,0.601,-1.75,-0.14,0.25,0.36,0,0,0,0.4,0,0,0,1,Primary Transit,2015,,2.024964,2.003969,2.024963,2.003969
8,EPIC 201295312 b,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,,12.05,,2.74,0.58,1.6,2.1,456.1121,576.2495,738.7465,1177.4,1244.9,1328.2,1219.7,4.4694444444,1370.6,7,-26.32,5.22,5.66,0.0647,0.12,0.12,0.15,0.06,86.6,0,EPIC 201295312,,,Leo,G,1.13,1.52,5830,2.394701,0.13,,12.5,,11.6008,-2.5208,-33.7,12.6368,1,0,1.158,2.724,-2.4,0.96,-0.58,0.27,0,0,0,0.22,0,0,0,1,Primary Transit,2016,,3.604606,3.431676,3.604607,3.431677
9,EPIC 201445392 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,22.64,,2.41,1.62,3.9,3.07,251.9139,251.914,251.914,1015,1015,1015,1064.4,3.6958333333,1064.4,36.7,-25.12,4.58,2.51,0.0334,0,0.137802855,0.1722535688,0.03,,0,EPIC 201445392,,,Leo,K,0.79,0.74,4890,0.280924,-0.01,,14.4,,11.3196,-0.2844,-32.8,11.8303,1,0,0.417,1.013,-2.29,-0.12,0.13,0.3,0,0,0,0.24,0,0,0,1,Primary Transit,2015,,3.052848,2.924275,3.052848,2.924275
10,EPIC 201598502 b,,,Cold,Superterran,rocky-iron,hydrogen-rich,non-habitable,,10.17,,1.99,1.28,2.56,2.26,0.1165529,0.1165529,0.1165529,148.9,148.9,148.9,193.9,0.6732638889,193.9,13.1,-16.33,3.79,7.52,0.601,0,0.0677489166,0.0846861458,0.6,,0,EPIC 201598502,,,Vir,M3.0,0.51,0.49,3720,0.042099,-0.26,,,126,12.2539,2.021,-24.4,0.4389,1,0,0.167,0.429,2.31,-0.13,1.85,0.25,0,0,0,0.39,0,0,0,1,Primary Transit,2017,,2.124945,2.097954,2.124945,2.097954
11,EPIC 201637175 b,,,Hot,Neptunian,rocky-iron,hydrogen-rich,non-habitable,,445.12,,2.8,20.28,56.78,12.61,809.9706,809.9708,809.9709,1359.1,1359.1,1359.1,1432.1,4.9725694444,1432.1,9025.5,-26.73,5.32,0.38,0.0088,0,0.1236888355,0.1546110444,0.01,,0,EPIC 201637175,,,Leo,M0V,0.6,0.57,3830,0.062724,0.03,,17,225,11.2989,2.6186,-34,35.063,1,0,0.204,0.52,-2.23,-0.6,4.88,0.16,0,0,0,0.22,0,0,0,1,Primary Transit,2015,,16.444461,17.211487,16.444462,17.211489
12,EPIC 201713348 b,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.23,,1.32,0.97,1.28,1.3,547.1144,547.1145,547.1146,1232.2,1232.2,1232.2,1269.4,4.4076388889,1269.4,2.2,-24.66,2.51,1.42,0.023,0,0.1214145714,0.1517682143,0.02,,0,EPIC 201713348,,,Leo,K,0.8,0.74,4924,0.288819,-0.03,,11.8,,11.2967,3.8664,-33.6,17.2288,2,0,0.422,1.025,-2.33,-0.16,-1.01,0.28,0,0,0,0.29,0,0,0,1,Primary Transit,2015,,2.863715,2.554971,2.863716,2.554972
13,EPIC 203826436 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.54,,1.61,1.08,1.74,1.68,213.6169,213.617,213.617,974,974,974,1014.8,3.5236111111,1014.8,4.9,-24.07,3.07,4.44,0.051,0,0.167465553,0.2093319413,0.05,,0,EPIC 203826436,,,Sco,G3V,0.9,0.85,5413,0.556519,-0.03,,12.5,,16.23,-24.7869,-32.6,8.8836,3,0,0.572,1.362,-2.32,-0.15,-0.69,0.29,0,0,0,0.28,0,0,0,1,Primary Transit,2015,,2.566739,2.37539,2.566739,2.37539
14,EPIC 204221263 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.88,,1.55,1.05,1.63,1.59,466.4485,466.4485,466.4486,1184,1184,1184,1224,4.25,1224,4.1,-24.83,2.94,4.02,0.0506,0,0.124577297,0.1557216213,0.05,,0,EPIC 204221263,,,Sco,G2V,1.07,1.1,5757,1.192505,0.28,,11.4,,16.0022,-23.1892,-33.4,11.6136,2,0,0.821,1.934,-2.38,-0.15,-0.84,0.28,0,0,0,0.28,0,0,0,1,Primary Transit,2016,,2.899904,2.629922,2.899906,2.629923
15,EPIC 204221263 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,23.12,,2.42,1.63,3.95,3.09,128.5021,128.5021,128.5021,857.8,857.8,857.8,907.3,3.1503472222,907.3,37.8,-24.4,4.6,10.56,0.0963,0,0.1943478415,0.2429348019,0.1,,0,EPIC 204221263,,,Sco,G2V,1.07,1.1,5757,1.192505,0.28,,11.4,,16.0022,-23.1892,-32,6.0881,2,0,0.821,1.934,-2.3,-0.11,0.31,0.3,0,0,0,0.24,0,0,0,1,Primary Transit,2016,,2.785123,2.712096,2.785124,2.712096
16,EPIC 210894022 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.58,,1.9,1.24,2.37,2.12,379.4331,379.4332,379.4332,1124.4,1124.4,1124.4,1168.6,4.0576388889,1168.6,10.7,-25.06,3.62,5.35,0.0621,0,0.1344398468,0.1680498085,0.06,86.2,0,EPIC 210894022,,,Tau,G,0.89,1.23,5730,1.46325,-0.53,10.77,11.1,210,3.9927,21.2987,-33.2,10.5703,1,0,0.91,2.148,-2.37,-0.15,-0.51,0.29,0,0,0,0.26,0,0,0,1,Radial Velocity,2017,,2.978738,2.762988,2.978737,2.762988
17,EPIC 211331236 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.88,,2.03,1.31,2.65,2.32,121.9863,121.9863,121.9863,846.7,846.7,846.7,892,3.0972222222,892,14.2,-23.96,3.85,1.29,0.0188,0,0.1949153352,0.243644169,0.02,,0,EPIC 211331236,,,Cnc,M1.0V,0.53,0.51,3676,0.043115,-0.22,,,100,8.9237,10.4691,-32,14.5811,2,0,0.169,0.436,-2.13,-0.13,-0.19,0.32,0,0,0,0.26,0,0,0,1,Primary Transit,2017,,2.563561,2.456847,2.563563,2.456848
18,EPIC 211331236 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,9.09,,1.94,1.25,2.42,2.17,17.88396,17.88396,17.88396,523.9,523.9,523.9,568.3,1.9732638889,568.3,11.3,-21.76,3.68,5.44,0.0491,0,0.1480463156,0.1850578945,0.05,,0,EPIC 211331236,,,Cnc,M1.0V,0.53,0.51,3676,0.043115,-0.22,,,100,8.9237,10.4691,-29.9,5.5701,2,0,0.169,0.436,-1.9,-0.14,0.1,0.34,0,0,0,0.33,0,0,0,1,Primary Transit,2017,,2.054968,2.031973,2.054968,2.031973
19,EPIC 211822797 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.46,,2.24,1.46,3.28,2.71,3.15283,4.462212,6.527848,339.5,368,407.2,387.1,1.4430555556,454.8,24.1,-20.58,4.26,21.17,0.127,0.18,0.18,0.225,0.12,89.5,0,EPIC 211822797,,,Cnc,M,0.61,0.59,3880,0.070782,,0.8,,,8.694,17.64,-28.4,2.5173,1,0,0.216,0.551,-1.53,-0.12,0.99,0.35,0,0,0,0.48,0,0,0,1,Primary Transit,2016,,2.474953,2.42796,2.474949,2.427956
20,EPIC 211913977 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.64,,2.02,1.3,2.62,2.3,17.97536,21.85776,26.84962,524.6,549.8,579.9,569.8,2.0663194444,625.2,13.8,-22.07,3.83,14.68,0.1089,0.1,0.1,0.125,0.11,89.4,0,EPIC 211913977,,,Cnc,K,0.8,0.73,4819,0.257848,,0.8,,,8.6896,18.9339,-30.1,3.5914,1,0,0.401,0.977,-2.01,-0.13,0.16,0.33,0,0,0,0.31,0,0,0,1,Primary Transit,2016,,2.159961,2.131967,2.159961,2.131967
21,EPIC 211924657 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.46,,2.24,1.46,3.28,2.71,20.39376,20.39376,20.39376,541.4,541.4,541.4,589,2.0451388889,589,24.1,-22.22,4.26,2.64,0.0266,0,0.1078529044,0.1348161305,0.03,,0,EPIC 211924657,,,Cnc,M3.0V,0.36,0.35,3385,0.01443,-0.02,,,80,8.6685,19.0929,-30,7.0164,1,0,0.098,0.257,-1.91,-0.12,0.52,0.34,0,0,0,0.3,0,0,0,1,Primary Transit,2017,,2.474948,2.427957,2.474945,2.427953
22,EPIC 211969807 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.48,,1.9,1.23,2.34,2.11,44.02319,62.30619,91.14883,656.2,711.4,787.2,700.3,2.6229166667,831.2,10.4,-23.1,3.62,1.97,0.0246,0.18,0.18,0.225,0.02,88,0,EPIC 211969807,,,Cnc,M,0.51,0.48,3660,0.037093,,0.8,,,8.6425,19.7738,-31.3,10.5855,1,0,0.157,0.405,-2.07,-0.14,-0.21,0.32,0,0,0,0.28,0,0,0,1,Primary Transit,2016,,2.261417,2.189132,2.261416,2.189132
23,EPIC 211970147 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.37,,1.34,0.97,1.31,1.33,26.51129,32.23732,39.59966,578.1,605.9,639.1,615.7,2.234375,676.7,2.3,-21.61,2.55,9.92,0.0828,0.1,0.1,0.125,0.08,89,0,EPIC 211970147,,,Cnc,K,0.77,0.71,4695,0.21976,,0.8,,,8.6704,19.7788,-30.5,4.5955,1,0,0.372,0.911,-2.07,-0.16,-0.69,0.31,0,0,0,0.33,0,0,0,1,Primary Transit,2016,,1.787145,1.697715,1.787144,1.697714
24,EPIC 212006344 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.7,,1.22,0.93,1.14,1.18,94.01602,94.01603,94.01604,793.3,793.3,793.3,829.3,2.8795138889,829.3,1.6,-22.57,2.32,2.22,0.0288,0,0.2040748813,0.2550936016,0.03,,0,EPIC 212006344,,,Cnc,K,0.64,0.61,3903,0.077981,0.37,,,74,8.4318,20.3596,-31.7,11.343,1,0,0.227,0.577,-2.13,-0.17,-0.92,0.3,0,0,0,0.3,0,0,0,1,Primary Transit,2017,,2.049706,1.883764,2.049707,1.883765
25,EPIC 213715787 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.58,,1.38,0.99,1.36,1.37,198.0276,198.0276,198.0277,955.7,955.7,955.7,993.7,3.4503472222,993.7,2.5,-23.64,2.62,0.96,0.0159,0,0.1760800529,0.2201000661,0.02,,0,EPIC 213715787,,,Sgr,M,0.58,0.55,3672,0.050063,0.179,,,88,19.5889,-28.4978,-32.5,18.6505,1,0,0.183,0.47,-2.16,-0.16,-0.87,0.3,0,0,0,0.29,0,0,0,1,Primary Transit,2017,,2.415106,2.208084,2.415107,2.208085
26,EPIC 220194974 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.3,,1.33,0.97,1.29,1.31,48.13123,48.13124,48.13125,671,671,671,708.5,2.4600694444,708.5,2.2,-22.03,2.53,4.38,0.0454,0,0.1336786388,0.1670982985,0.05,,0,EPIC 220194974,,,Cet,K,0.65,0.63,4079,0.099206,-0.11,,,121,0.9679,-0.1932,-31,7.4238,3,0,0.255,0.643,-2.08,-0.16,-0.75,0.31,0,0,0,0.31,0,0,0,1,Primary Transit,2017,,1.894992,1.781993,1.894991,1.781992
27,EPIC 220194974 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.82,,1.72,1.13,1.95,1.84,26.14432,26.14432,26.14432,576.1,576.1,576.1,618.2,2.1465277778,618.2,6.6,-21.92,3.28,6.92,0.0616,0,0.1114968933,0.1393711166,0.06,,0,EPIC 220194974,,,Cet,K,0.65,0.63,4079,0.099206,-0.11,,,121,0.9679,-0.1932,-30.3,5.4697,3,0,0.255,0.643,-2,-0.15,-0.25,0.33,0,0,0,0.32,0,0,0,1,Primary Transit,2017,,1.933229,1.890582,1.933226,1.890579
28,EPIC 220194974 d,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.77,,1.64,1.09,1.78,1.71,16.55987,16.55987,16.55987,513.9,513.9,513.9,555,1.9270833333,555,5.2,-21.31,3.11,9.76,0.0774,0,0.1951820016,0.243977502,0.08,,0,EPIC 220194974,,,Cet,K,0.65,0.63,4079,0.099206,-0.11,,,121,0.9679,-0.1932,-29.8,4.3525,3,0,0.255,0.643,-1.92,-0.15,-0.27,0.34,0,0,0,0.35,0,0,0,1,Primary Transit,2017,,1.783515,1.75481,1.783517,1.754812
29,EPIC 220522664 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.77,,1.64,1.09,1.78,1.71,8.264898,8.264899,8.264899,432,432,432,473,1.6423611111,473,5.2,-20.55,3.11,11.33,0.083,0,0.1212345513,0.1515431891,0.08,,0,EPIC 220522664,,,Psc,M1.0V,0.59,0.57,3745,0.056937,0.11,,,118,0.6548,7.2771,-29,3.6476,1,0,0.194,0.499,-1.73,-0.15,-0.14,0.36,0,0,0,0.42,0,0,0,1,Primary Transit,2017,,1.674975,1.667979,1.674973,1.667977
30,EPIC 220598331 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.17,,1.99,1.28,2.56,2.26,4.836929,4.83693,4.836931,377.8,377.8,377.8,422.8,1.4680555556,422.8,13.1,-20.4,3.79,10.59,0.0727,0,0.1461169877,0.1826462346,0.07,,0,EPIC 220598331,,,Psc,M2.5V,0.46,0.44,3499,0.025565,0.09,,,110,1.2229,8.9875,-28.4,3.1964,1,0,0.131,0.339,-1.56,-0.13,0.52,0.38,0,0,0,0.48,0,0,0,1,Primary Transit,2017,,2.124962,2.097968,2.12496,2.097966
31,EPIC 220621087 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.37,,1.34,0.97,1.31,1.33,20.47271,20.47272,20.47272,541.9,541.9,541.9,579.5,2.0121527778,579.5,2.3,-21.11,2.55,3.84,0.0365,0,0.1526112581,0.1907640726,0.04,,0,EPIC 220621087,,,Psc,M1.5V,0.44,0.43,3585,0.027275,-0.32,,,62.7,1.287,9.5014,-30,6.2667,1,0,0.135,0.349,-1.92,-0.16,-0.63,0.33,0,0,0,0.35,0,0,0,1,Primary Transit,2017,,1.676044,1.608834,1.676046,1.608836
32,EPIC 228934525 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.11,,2.23,1.45,3.24,2.69,56.84837,56.84837,56.84838,699.6,699.6,699.6,747.1,2.5940972222,747.1,23.4,-23.33,4.24,3.68,0.0408,0,0.174671399,0.2183392488,0.04,,0,EPIC 228934525,,,Vir,M0.0V,0.67,0.65,3978,0.094632,0.19,,,133,12.6001,-2.6695,-31.1,8.4848,2,0,0.25,0.633,-2.09,-0.12,0.24,0.32,0,0,0,0.27,0,0,0,1,Primary Transit,2017,,2.45996,2.413966,2.459958,2.413964
33,EPIC 228934525 c,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.42,,2.09,1.35,2.83,2.43,20.28602,20.28602,20.28603,540.7,540.7,540.7,586.8,2.0375,586.8,16.8,-22.07,3.98,7.95,0.0683,0,0.1419394937,0.1774243671,0.07,,0,EPIC 228934525,,,Vir,M0.0V,0.67,0.65,3978,0.094632,0.19,,,133,12.6001,-2.6695,-30,5.0655,2,0,0.25,0.633,-1.95,-0.13,0.29,0.34,0,0,0,0.31,0,0,0,1,Primary Transit,2017,,2.259961,2.225967,2.259961,2.225967
34,EPIC 246393474 b,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,,5.31,,1.53,1.47,2.26,1.86,2793.781,2793.781,2793.782,1852.2,1852.2,1852.2,1895,6.5798611111,1895,7.8,-26.76,2.92,0.28,0.0073,0,0.0548654004,0.0685817505,0.01,90,0,EPIC 246393474,,,Psc,K,0.66,0.67,4373,0.149048,0.03,0.74,11.5,59,23.3944,-1.1892,-35.4,50.8259,1,0,0.31,0.771,-2.31,-0.45,-0.89,0.28,0,0,0,0.28,0,0,0,1,Primary Transit,2017,,4.054736,3.549789,4.054735,3.549788
35,GJ 15 A b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.35,5.35,,1.69,1.11,1.88,1.78,4.216123,4.216124,4.216124,365.1,365.1,365.1,406.7,1.4121527778,406.7,6,-19.88,3.21,11.44,0.0717,0,0.150269081,0.1878363513,0.07,,0,GJ 15 A,HD 1326 A,HIP 1475,And,M2V,0.38,0.39,3567,0.021675,-0.32,,8.1,3.59,0.3064,44.023,-28.3,2.8715,1,0,0.12,0.311,-1.51,-0.15,0.07,0.4,0,0,0,0.52,0,0,0,1,Radial Velocity,2014,,1.734972,1.725977,1.734971,1.725975
36,GJ 163 c,,,Warm,Superterran,rocky-iron,metals-rich,psychroplanet,7.26,7.26,,1.83,1.19,2.17,1.99,0.5515569,0.6630019,0.804139,219.6,229.5,241.3,262.8,0.946875,284.5,8.6,-18.05,3.48,25.64,0.1254,0.09,0.09,0.1125,0.12,,235.4,GJ 163,,HIP 19394,Dor,M3.5,0.4,0.23,3840,0.01038,,3,11.8,15,4.1544,-53.3736,-26.3,0.9881,3,1,0.083,0.212,-0.34,-0.14,0.81,0.53,0.08,0,0,0.73,0,1,0,1,Radial Velocity,2012,,1.909958,1.893965,1.90996,1.893966
37,GJ 176 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.43,8.43,,1.9,1.23,2.33,2.11,8.882277,8.882278,8.88228,439.8,439.8,439.8,483.8,1.6798611111,483.8,10.3,-20.96,3.61,8.78,0.066,0,0.0985962198,0.1232452748,0.07,,0,GJ 176,HD 285968,HIP 21932,Tau,M2.5V,0.49,0.53,3520,0.038691,-0.1,,10,9.42,4.7156,18.9581,-29.1,4.2805,1,0,0.161,0.417,-1.74,-0.14,0.21,0.36,0,0,0,0.39,1,0,0,1,Radial Velocity,2007,,2.004961,1.983967,2.004963,1.983969
38,GJ 180 b,,,Warm,Superterran,rocky-iron,metals-rich,mesoplanet,8.3,8.3,,1.89,1.22,2.32,2.09,0.9960187,1.234564,1.549138,254.5,267.9,284.2,298.4,1.0829861111,328.1,10.2,-18.8,3.6,17.38,0.103,0.11,0.11,0.1375,0.1,,11.5,GJ 180,,,Eri,M2V,0.43,0.34,3371,0.013018,,,10.9,11.69,4.8972,-17.7734,-27,1.745,2,2,0.093,0.244,-0.87,-0.14,0.74,0.46,0.41,0,0,0.75,0,1,0,0,Radial Velocity,2014,,1.989961,1.969967,1.989958,1.969965
39,GJ 180 c,,,Warm,Superterran,rocky-iron,metals-rich,mesoplanet,6.4,6.4,,1.77,1.16,2.04,1.9,0.6584886,0.785473,0.9446748,229.5,239.5,251.2,272.1,0.9791666667,293.7,7.4,-18.16,3.36,24.33,0.129,0.09,0.09,0.1125,0.13,,234.9,GJ 180,,,Eri,M2V,0.43,0.34,3371,0.013018,,,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2,2,0.093,0.244,-0.53,-0.14,0.64,0.54,0.42,0,0,0.77,0,1,0,0,Radial Velocity,2014,,1.834963,1.821969,1.834963,1.821969
40,GJ 273 b,,,Warm,Terran,rocky-iron,metals-rich,mesoplanet,2.89,2.89,,1.42,1,1.43,1.43,1.003524,1.220269,1.498954,255,267.3,281.9,293.5,1.0618055556,320.5,2.9,-18.17,2.7,18.65,0.0911,0.1,0.1,0.125,0.09,,0,GJ 273,,,CMi,M3.5,0.29,0.29,3382,0.010077,0.09,,9.9,3.8,7.4568,5.2258,-27,1.7227,2,1,0.082,0.215,-0.86,-0.16,-0.05,0.53,0.79,0,0,0.86,0,1,0,1,Radial Velocity,2017,,1.424976,1.42398,1.424978,1.423981
41,GJ 273 c,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.18,1.18,,1.1,0.9,0.98,1.04,5.536193,7.689316,10.99925,390.8,421.9,464,425,1.5840277778,498.2,1.1,-19.62,2.08,4.72,0.0365,0.17,0.17,0.2125,0.04,,0,GJ 273,,,CMi,M3.5,0.29,0.29,3382,0.010077,0.09,,9.9,3.8,7.4568,5.2258,-29,4.3461,2,1,0.082,0.215,-1.69,-0.17,-0.76,0.35,0,0,0,0.46,0,0,0,1,Radial Velocity,2017,,1.341992,1.293593,1.341993,1.293594
42,GJ 422 b,,,Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,9.9,9.9,,1.98,1.28,2.53,2.24,0.6164306,0.6804333,0.7529997,225.7,231.3,237.3,270.6,0.9586805556,282.2,12.6,-18.25,3.76,26.16,0.119,0.05,0.05,0.0625,0.12,,246.4,GJ 422,,,Cen,M3.5V,0.35,0.3,3323,0.009624,,,11.5,12.67,11.2667,-56.4523,-26.3,1.3345,1,1,0.08,0.21,-0.41,-0.13,1.11,0.46,0.17,0,0,0.71,0,1,0,0,Radial Velocity,2014,,2.109946,2.083955,2.109946,2.083955
43,GJ 433 b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.3,5.3,,1.68,1.11,1.87,1.77,5.840059,6.446419,7.133913,396,405.8,416.4,437.6,1.5534722222,458,5.9,-20.34,3.2,7.37,0.06,0.05,0.05,0.0625,0.06,,309.4,GJ 433,,HIP 56528,Hya,M1.5,0.48,0.39,3600,0.023178,-0.22,,9.8,8.88,11.5908,-32.54,-28.8,3.5003,2,0,0.124,0.321,-1.65,-0.15,-0.03,0.38,0,0,0,0.45,1,0,0,0,Radial Velocity,2009,,1.724966,1.715971,1.724966,1.715971
