Index,P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,Imputed Eccentricity,Imputed Eccentricity (EU),P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,,CDHS_CRS(0.5*CDHSi+0.5*CDHSe), CDHS_CRS(0.6*CDHSi+0.4*CDHSe),CDHS_DRS(0.5*CDHSi+0.5*CDHSe),CDHS_DRS(0.6*CDHSi+0.4*CDHSe)
595,Kepler-298 d,Kepler-298 d,1430.03,Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,,26.81,,2.5,1.72,4.3,3.28,1.289531,1.289531,1.289532,271.5,271.5,271.5,321.9,1.1177083333,321.9,46.1,-19.45,4.75,77.47,0.305,0,0.1010250283,0.1262812854,0.3,,0,Kepler-298,,,Dra,K,0.65,0.58,4465,0.119959,-0.121,,,474,18.8693,48.8254,-27,1.0134,3,1,0.277,0.686,-0.86,-0.11,2.11,0.3,0,0,0,0.68,0,1,0,1,Primary Transit,2014,,2.889921,2.811934,2.889924,2.811937
596,Kepler-299 b,Kepler-299 b,1432.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.23,,1.32,0.97,1.28,1.3,592.1912,592.1912,592.1913,1256.8,1256.8,1256.8,1294.1,4.4934027778,1294.1,2.2,-24.75,2.51,2.93,0.04,0,0.051762131,0.0647026638,0.04,,0,Kepler-299,,,Dra,G,0.97,1.03,5617,0.947506,-0.052,,,,18.8805,48.5805,-33.7,13.7556,4,0,0.738,1.745,-2.38,-0.16,-1.02,0.28,0,0,0,0.29,0,0,0,1,Primary Transit,2014,,2.906576,2.58926,2.906576,2.58926
597,Kepler-299 d,Kepler-299 d,1432.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.73,,1.86,1.2,2.24,2.04,68.04839,68.0484,68.04841,731.7,731.7,731.7,775.3,2.6920138889,775.3,9.3,-23.13,3.53,15.05,0.118,0,0.1091848638,0.1364810798,0.12,,0,Kepler-299,,,Dra,G,0.97,1.03,5617,0.947506,-0.052,,,,18.8805,48.5805,-31.3,4.653,4,0,0.738,1.745,-2.23,-0.14,-0.27,0.31,0,0,0,0.28,0,0,0,1,Primary Transit,2014,,2.275957,2.192764,2.275956,2.192763
598,Kepler-299 e,Kepler-299 e,1432.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.92,,1.87,1.21,2.26,2.06,19.57657,19.57657,19.57657,535.9,535.9,535.9,579.6,2.0125,579.6,9.6,-21.78,3.56,38.29,0.22,0,0.045138745,0.0564234313,0.22,,0,Kepler-299,,,Dra,G,0.97,1.03,5617,0.947506,-0.052,,,,18.8805,48.5805,-30,2.4952,4,0,0.738,1.745,-2.03,-0.14,-0.01,0.33,0,0,0,0.33,0,0,0,1,Primary Transit,2014,,1.964958,1.945965,1.964958,1.945965
599,Kepler-300 b,Kepler-300 b,1435.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.14,,1.67,1.11,1.85,1.76,105.6005,105.6005,105.6005,816.7,816.7,816.7,858.1,2.9795138889,858.1,5.7,-23.37,3.17,10.45,0.094,0,0.0657969288,0.082246161,0.09,,0,Kepler-300,,,Cyg,G,0.94,0.9,5986,0.933086,-0.238,,,,19.6859,48.5997,-31.8,5.1041,2,0,0.716,1.678,-2.29,-0.15,-0.54,0.3,0,0,0,0.28,0,0,0,1,Primary Transit,2014,,2.32469,2.193751,2.324692,2.193752
600,Kepler-300 c,Kepler-300 c,1435.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.81,,2.25,1.47,3.32,2.73,17.33587,17.33587,17.33588,519.9,519.9,519.9,567.6,1.9708333333,567.6,24.8,-22.06,4.28,40.71,0.232,0,0.0551639373,0.0689549216,0.23,,0,Kepler-300,,,Cyg,G,0.94,0.9,5986,0.933086,-0.238,,,,19.6859,48.5997,-29.8,2.0675,2,0,0.716,1.678,-2.01,-0.12,0.59,0.32,0,0,0,0.31,0,0,0,1,Primary Transit,2014,,2.48994,2.44195,2.489937,2.441946
601,Kepler-301 b,Kepler-301 b,1436.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.37,,1.34,0.97,1.31,1.33,641.1633,641.1634,641.1635,1282,1282,1282,1319.6,4.5819444444,1319.6,2.3,-24.87,2.55,2.51,0.036,0,0.0506223948,0.0632779935,0.04,,0,Kepler-301,,,Dra,G,0.91,0.9,5815,0.830948,-0.178,,,,18.9322,49.233,-33.8,13.3531,3,0,0.683,1.607,-2.4,-0.16,-1.01,0.28,0,0,0,0.29,0,0,0,1,Primary Transit,2014,,2.960843,2.636674,2.960843,2.636674
602,Kepler-301 c,Kepler-301 c,1436.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.37,,1.34,0.97,1.31,1.33,230.8188,230.8188,230.8188,993,993,993,1030.6,3.5784722222,1030.6,2.3,-23.76,2.55,5.42,0.06,0,0.0470140355,0.0587675444,0.06,,0,Kepler-301,,,Dra,G,0.91,0.9,5815,0.830948,-0.178,,,,18.9322,49.233,-32.7,8.0002,3,0,0.683,1.607,-2.35,-0.16,-0.92,0.28,0,0,0,0.29,0,0,0,1,Primary Transit,2014,,2.459143,2.235313,2.459142,2.235313
603,Kepler-301 d,Kepler-301 d,1436.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.1,,1.75,1.14,2,1.87,66.24264,66.24265,66.24265,726.8,726.8,726.8,769.1,2.6704861111,769.1,7,-22.97,3.32,13.75,0.112,0,0.1090651268,0.1363314085,0.11,,0,Kepler-301,,,Dra,G,0.91,0.9,5815,0.830948,-0.178,,,,18.9322,49.233,-31.3,4.2834,3,0,0.683,1.607,-2.24,-0.14,-0.39,0.31,0,0,0,0.29,0,0,0,1,Primary Transit,2014,,2.210194,2.118154,2.210194,2.118154
604,Kepler-303 b,Kepler-303 b,1515.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.58,,0.88,0.84,0.74,0.81,86.83551,86.83553,86.83553,777.7,777.7,777.7,808.6,2.8076388889,808.6,0.5,-21.78,1.68,1.94,0.024,0,0.0997484648,0.124685581,0.02,,0,Kepler-303,,,Lyr,K,0.59,0.48,3944,0.050017,0.102,,,,18.8757,43.6571,-31.6,10.6737,2,0,0.182,0.461,-2.13,-0.18,-1.17,0.29,0,0,0,0.31,0,0,0,1,Primary Transit,2014,,1.843758,1.651006,1.903756,1.723004
